,Model,Dataset,Quantization,Prediction Accuracy,Mean Abs Value of Output,Inference Time,Model Size
0,alexNet,CIFAR10,float32,64.18,3.14115834236145,0.02284693717956543,228183679
1,alexNet,CIFAR10,torch.qint8,65.52,2.9299404621124268,0.015396595001220703,64484955
2,alexNet,CIFAR10,torch.float16,65.54,2.932572603225708,0.017383575439453125,228185563
3,alexNet,CIFAR10,float64,64.6,3.0124191834207035,0.055628061294555664,456362943
4,alexNet,CIFAR100,float32,16.82,1.2675979137420654,0.022848129272460938,229658623
5,alexNet,CIFAR100,torch.qint8,17.68,1.2441914081573486,0.016389846801757812,64853979
6,alexNet,CIFAR100,torch.float16,17.67,1.2441462278366089,0.01688671112060547,229660507
7,alexNet,CIFAR100,float64,16.64,1.3240094978700079,0.053640127182006836,459312767
8,alexNet,FashionMNIST,float32,88.83,3.21087384223938,0.02185368537902832,228121727
9,alexNet,FashionMNIST,torch.qint8,89.35,3.1229028701782227,0.015396356582641602,64423003
10,alexNet,FashionMNIST,torch.float16,89.32,3.1232099533081055,0.016390562057495117,228123611
11,alexNet,FashionMNIST,float64,88.73,3.1727193493861985,0.05016326904296875,456239039
12,alexNet,MNIST,float32,98.83,4.582718849182129,0.021853208541870117,228121727
13,alexNet,MNIST,torch.qint8,99.05,4.340033531188965,0.014403104782104492,64423003
14,alexNet,MNIST,torch.float16,99.05,4.341325283050537,0.015396595001220703,228123611
15,alexNet,MNIST,float64,98.71,4.438983036237126,0.04817676544189453,456239039
16,leNet,CIFAR10,float32,54.52,2.1656789779663086,0.0004968643188476562,251107
17,leNet,CIFAR10,torch.qint8,54.52,2.1667420864105225,0.0,76479
18,leNet,CIFAR10,torch.float16,54.51,2.165665864944458,0.0004963874816894531,253055
19,leNet,CIFAR10,float64,54.52,2.165678882884162,0.0004971027374267578,499043
20,leNet,CIFAR100,float32,18.8,1.1413328647613525,0.0,281699
21,leNet,CIFAR100,torch.qint8,18.81,1.1435142755508423,0.0004968643188476562,84415
22,leNet,CIFAR100,torch.float16,18.79,1.141329288482666,0.0004968643188476562,283647
23,leNet,CIFAR100,float64,18.8,1.1413327863368217,0.0004966259002685547,560227
24,leNet,FashionMNIST,float32,87.16,3.578260898590088,0.0004966259002685547,249891
25,leNet,FashionMNIST,torch.qint8,87.18,3.5703232288360596,0.0004966259002685547,75263
26,leNet,FashionMNIST,torch.float16,87.16,3.5780162811279297,0.0004966259002685547,251839
27,leNet,FashionMNIST,float64,87.16,3.5782608235095736,0.0004971027374267578,496611
28,leNet,MNIST,float32,98.27,4.716769218444824,0.0,249891
29,leNet,MNIST,torch.qint8,98.26,4.719590187072754,0.0004966259002685547,75263
30,leNet,MNIST,torch.float16,98.27,4.71685266494751,0.0004968643188476562,251839
31,leNet,MNIST,float64,98.27,4.716769024913651,0.0004966259002685547,496611
32,resNet18,CIFAR10,float32,72.13,2.522594690322876,0.05264687538146973,44796377
33,resNet18,CIFAR10,torch.qint8,74.71,2.900280237197876,0.05066037178039551,44781839
34,resNet18,CIFAR10,torch.float16,74.75,2.894631862640381,0.06307673454284668,44797071
35,resNet18,CIFAR10,float64,72.13,2.5225946671037556,0.16141653060913086,89561369
36,resNet18,CIFAR100,float32,27.34,1.9254858493804932,0.05711674690246582,44981081
37,resNet18,CIFAR100,torch.qint8,30.97,2.0561563968658447,0.050659894943237305,44828303
38,resNet18,CIFAR100,torch.float16,30.94,2.0558416843414307,0.05016374588012695,44981775
39,resNet18,CIFAR100,float64,27.34,1.9254860267255796,0.14900588989257812,89930713
40,resNet18,FashionMNIST,float32,90.8,2.7168450355529785,0.05115652084350586,44771289
41,resNet18,FashionMNIST,torch.qint8,91.59,3.300523042678833,0.04768204689025879,44756751
42,resNet18,FashionMNIST,torch.float16,91.57,3.2981255054473877,0.04718375205993652,44771983
43,resNet18,FashionMNIST,float64,90.8,2.7168448344386045,0.14772582054138184,89511193
44,resNet18,MNIST,float32,98.96,3.057389974594116,0.049666643142700195,44771289
45,resNet18,MNIST,torch.qint8,99.11,3.040787696838379,0.04619026184082031,44756751
46,resNet18,MNIST,torch.float16,99.11,3.0380465984344482,0.046686649322509766,44771983
47,resNet18,MNIST,float64,98.96,3.0573900243827152,0.1311047077178955,89511193
48,vgg11,CIFAR10,float32,46.15,1.7503694295883179,0.16613435745239258,515235035
49,vgg11,CIFAR10,torch.qint8,47.32,1.694000244140625,0.1570725440979004,156501367
50,vgg11,CIFAR10,torch.float16,47.36,1.6962038278579712,0.16241025924682617,515237111
51,vgg11,CIFAR10,float64,46.32,1.6276729657536926,0.4857759475708008,1030464283
52,vgg11,CIFAR100,float32,0.96,0.012090113013982773,0.1829838752746582,516709979
53,vgg11,CIFAR100,torch.qint8,1.0,0.01147434115409851,0.16514062881469727,156870391
54,vgg11,CIFAR100,torch.float16,1.0,0.011473028920590878,0.1708531379699707,516712055
55,vgg11,CIFAR100,float64,0.98,0.01203105014048287,0.49445319175720215,1033414107
56,vgg11,FashionMNIST,float32,88.3,3.236154556274414,0.1826634407043457,515230427
57,vgg11,FashionMNIST,torch.qint8,88.78,3.1464881896972656,0.16687965393066406,156496759
58,vgg11,FashionMNIST,torch.float16,88.74,3.144814968109131,0.17035651206970215,515232503
59,vgg11,FashionMNIST,float64,88.38,3.144321715656264,0.5110347270965576,1030455067
60,vgg11,MNIST,float32,98.82,4.738954067230225,0.16737747192382812,515230427
61,vgg11,MNIST,torch.qint8,99.07,4.244137763977051,0.15247654914855957,156496759
62,vgg11,MNIST,torch.float16,99.07,4.244366645812988,0.16837048530578613,515232503
63,vgg11,MNIST,float64,98.92,5.0439302233638825,0.5219712257385254,1030455067
